field,field_id,year,works,open_access_works,open_access_share
Engineering,22,1995,475725,51331,0.1079
Engineering,22,1996,538661,54513,0.1012
Engineering,22,1997,576918,55470,0.0961
Engineering,22,1998,607779,57017,0.0938
Engineering,22,1999,661200,59167,0.0895
Engineering,22,2000,765587,72860,0.0952
Engineering,22,2001,819323,71323,0.0871
Engineering,22,2002,1022959,84752,0.0828
Engineering,22,2003,1037389,90307,0.0871
Engineering,22,2004,1107388,97517,0.0881
Engineering,22,2005,1218118,111990,0.0919
Engineering,22,2006,1308946,128411,0.0981
Engineering,22,2007,1369477,145777,0.1064
Engineering,22,2008,1462431,149810,0.1024
Engineering,22,2009,1549628,167813,0.1083
Engineering,22,2010,1645507,196035,0.1191
Engineering,22,2011,1739545,237012,0.1362
Engineering,22,2012,1772190,266395,0.1503
Engineering,22,2013,1840040,332935,0.1809
Engineering,22,2014,1879629,361581,0.1924
Engineering,22,2015,1959643,428152,0.2185
Engineering,22,2016,2012663,468182,0.2326
Engineering,22,2017,1723581,505620,0.2934
Engineering,22,2018,1620477,577139,0.3562
Engineering,22,2019,1665173,615898,0.3699
Engineering,22,2020,1640077,622064,0.3793
Engineering,22,2021,1390443,588117,0.423
Engineering,22,2022,1198079,586780,0.4898
Engineering,22,2023,1297345,699908,0.5395
Engineering,22,2024,1434653,751510,0.5238
Engineering,22,2025,1602938,846810,0.5283
Medicine,27,1995,390197,55151,0.1413
Medicine,27,1996,423177,65334,0.1544
Medicine,27,1997,421814,72216,0.1712
Medicine,27,1998,464168,77805,0.1676
Medicine,27,1999,446234,79959,0.1792
Medicine,27,2000,558868,92510,0.1655
Medicine,27,2001,523840,95842,0.183
Medicine,27,2002,569204,101303,0.178
Medicine,27,2003,653832,120394,0.1841
Medicine,27,2004,714127,130988,0.1834
Medicine,27,2005,747687,144368,0.1931
Medicine,27,2006,836848,160722,0.1921
Medicine,27,2007,876380,177285,0.2023
Medicine,27,2008,981142,208846,0.2129
Medicine,27,2009,1034247,239354,0.2314
Medicine,27,2010,1079017,270451,0.2506
Medicine,27,2011,1137971,303954,0.2671
Medicine,27,2012,1211084,347361,0.2868
Medicine,27,2013,1251003,401156,0.3207
Medicine,27,2014,1296873,446119,0.344
Medicine,27,2015,1358328,516689,0.3804
Medicine,27,2016,1354224,568941,0.4201
Medicine,27,2017,1388148,612202,0.441
Medicine,27,2018,1418761,654237,0.4611
Medicine,27,2019,1495142,723596,0.484
Medicine,27,2020,1694472,988578,0.5834
Medicine,27,2021,1631493,995233,0.61
Medicine,27,2022,1544020,985129,0.638
Medicine,27,2023,1713928,1186024,0.692
Medicine,27,2024,1645023,1066217,0.6481
Medicine,27,2025,1817368,1177145,0.6477
Computer Science,17,1995,90887,15081,0.1659
Computer Science,17,1996,99364,16571,0.1668
Computer Science,17,1997,103513,16836,0.1626
Computer Science,17,1998,110207,19056,0.1729
Computer Science,17,1999,119313,19391,0.1625
Computer Science,17,2000,143396,23450,0.1635
Computer Science,17,2001,155076,21819,0.1407
Computer Science,17,2002,295067,31120,0.1055
Computer Science,17,2003,259939,33049,0.1271
Computer Science,17,2004,271054,39072,0.1441
Computer Science,17,2005,320181,45901,0.1434
Computer Science,17,2006,350903,52531,0.1497
Computer Science,17,2007,369976,61056,0.165
Computer Science,17,2008,394749,66458,0.1684
Computer Science,17,2009,434913,73585,0.1692
Computer Science,17,2010,469604,87129,0.1855
Computer Science,17,2011,500019,98866,0.1977
Computer Science,17,2012,510319,115973,0.2273
Computer Science,17,2013,524211,136389,0.2602
Computer Science,17,2014,538728,154793,0.2873
Computer Science,17,2015,548414,166865,0.3043
Computer Science,17,2016,561962,189986,0.3381
Computer Science,17,2017,564964,199017,0.3523
Computer Science,17,2018,606753,240613,0.3966
Computer Science,17,2019,641740,284185,0.4428
Computer Science,17,2020,682924,331818,0.4859
Computer Science,17,2021,642968,347649,0.5407
Computer Science,17,2022,619739,367059,0.5923
Computer Science,17,2023,695516,424558,0.6104
Computer Science,17,2024,719754,424644,0.59
Computer Science,17,2025,837663,497289,0.5937
"Economics, Econometrics and Finance",20,1995,74153,12211,0.1647
"Economics, Econometrics and Finance",20,1996,77901,13516,0.1735
"Economics, Econometrics and Finance",20,1997,80398,14487,0.1802
"Economics, Econometrics and Finance",20,1998,84080,16462,0.1958
"Economics, Econometrics and Finance",20,1999,87458,17370,0.1986
"Economics, Econometrics and Finance",20,2000,108788,21861,0.201
"Economics, Econometrics and Finance",20,2001,108939,22734,0.2087
"Economics, Econometrics and Finance",20,2002,123786,25023,0.2021
"Economics, Econometrics and Finance",20,2003,140475,30871,0.2198
"Economics, Econometrics and Finance",20,2004,151863,32319,0.2128
"Economics, Econometrics and Finance",20,2005,161852,38961,0.2407
"Economics, Econometrics and Finance",20,2006,174836,39018,0.2232
"Economics, Econometrics and Finance",20,2007,199979,44444,0.2222
"Economics, Econometrics and Finance",20,2008,211311,55008,0.2603
"Economics, Econometrics and Finance",20,2009,231869,61372,0.2647
"Economics, Econometrics and Finance",20,2010,248961,65023,0.2612
"Economics, Econometrics and Finance",20,2011,265906,71703,0.2697
"Economics, Econometrics and Finance",20,2012,285887,79512,0.2781
"Economics, Econometrics and Finance",20,2013,301005,86585,0.2877
"Economics, Econometrics and Finance",20,2014,307532,92781,0.3017
"Economics, Econometrics and Finance",20,2015,315118,100129,0.3178
"Economics, Econometrics and Finance",20,2016,358360,139161,0.3883
"Economics, Econometrics and Finance",20,2017,338618,112402,0.3319
"Economics, Econometrics and Finance",20,2018,337923,128322,0.3797
"Economics, Econometrics and Finance",20,2019,326739,131381,0.4021
"Economics, Econometrics and Finance",20,2020,353330,154021,0.4359
"Economics, Econometrics and Finance",20,2021,314360,159850,0.5085
"Economics, Econometrics and Finance",20,2022,280072,147736,0.5275
"Economics, Econometrics and Finance",20,2023,356996,193090,0.5409
"Economics, Econometrics and Finance",20,2024,319526,199857,0.6255
"Economics, Econometrics and Finance",20,2025,313600,189276,0.6036
"Business, Management and Accounting",14,1995,48513,5974,0.1231
"Business, Management and Accounting",14,1996,52279,6768,0.1295
"Business, Management and Accounting",14,1997,56636,7587,0.134
"Business, Management and Accounting",14,1998,62161,8742,0.1406
"Business, Management and Accounting",14,1999,68319,9578,0.1402
"Business, Management and Accounting",14,2000,82076,11993,0.1461
"Business, Management and Accounting",14,2001,88152,13399,0.152
"Business, Management and Accounting",14,2002,103947,15426,0.1484
"Business, Management and Accounting",14,2003,113893,18728,0.1644
"Business, Management and Accounting",14,2004,127577,21106,0.1654
"Business, Management and Accounting",14,2005,140762,25097,0.1783
"Business, Management and Accounting",14,2006,154434,29145,0.1887
"Business, Management and Accounting",14,2007,177680,33193,0.1868
"Business, Management and Accounting",14,2008,193764,38652,0.1995
"Business, Management and Accounting",14,2009,215942,45020,0.2085
"Business, Management and Accounting",14,2010,241475,51625,0.2138
"Business, Management and Accounting",14,2011,266403,60989,0.2289
"Business, Management and Accounting",14,2012,286431,69263,0.2418
"Business, Management and Accounting",14,2013,296953,75516,0.2543
"Business, Management and Accounting",14,2014,311493,84731,0.272
"Business, Management and Accounting",14,2015,322852,91427,0.2832
"Business, Management and Accounting",14,2016,326233,99264,0.3043
"Business, Management and Accounting",14,2017,335581,110043,0.3279
"Business, Management and Accounting",14,2018,334907,120211,0.3589
"Business, Management and Accounting",14,2019,344610,134041,0.389
"Business, Management and Accounting",14,2020,336855,144232,0.4282
"Business, Management and Accounting",14,2021,290929,140676,0.4835
"Business, Management and Accounting",14,2022,258001,147076,0.5701
"Business, Management and Accounting",14,2023,298541,185510,0.6214
"Business, Management and Accounting",14,2024,331740,211757,0.6383
"Business, Management and Accounting",14,2025,386044,247488,0.6411
Psychology,32,1995,53897,6578,0.122
Psychology,32,1996,58440,7133,0.1221
Psychology,32,1997,60457,8024,0.1327
Psychology,32,1998,64747,8823,0.1363
Psychology,32,1999,67148,9550,0.1422
Psychology,32,2000,80309,11964,0.149
Psychology,32,2001,82245,12166,0.1479
Psychology,32,2002,91989,13904,0.1511
Psychology,32,2003,98799,15806,0.16
Psychology,32,2004,107259,17505,0.1632
Psychology,32,2005,113791,20453,0.1797
Psychology,32,2006,130864,23771,0.1816
Psychology,32,2007,142637,28081,0.1969
Psychology,32,2008,156250,32917,0.2107
Psychology,32,2009,171555,39347,0.2294
Psychology,32,2010,193250,45821,0.2371
Psychology,32,2011,212514,49614,0.2335
Psychology,32,2012,220356,57100,0.2591
Psychology,32,2013,240109,66562,0.2772
Psychology,32,2014,249853,74897,0.2998
Psychology,32,2015,260228,86188,0.3312
Psychology,32,2016,265548,92607,0.3487
Psychology,32,2017,278427,100965,0.3626
Psychology,32,2018,285600,108513,0.3799
Psychology,32,2019,290297,121435,0.4183
Psychology,32,2020,317859,149113,0.4691
Psychology,32,2021,299667,158748,0.5297
Psychology,32,2022,269991,154511,0.5723
Psychology,32,2023,285870,172127,0.6021
Psychology,32,2024,303925,184836,0.6082
Psychology,32,2025,378943,235320,0.621
